Word,POS Tag,Frequency
Thanks,PROPN,53
menjadi,VERB,53
now,PROPN,53
Udah,PROPN,53
urgent,NUM,53
PCR,PROPN,52
dikala,NOUN,52
kode,NOUN,52
at,PROPN,52
sgt,PROPN,52
pakai,NOUN,52
experience,PROPN,52
time,NOUN,52
if,NOUN,52
keluarga,NOUN,52
at,ADP,52
membutuhkan,VERB,52
ngga,X,52
buy,NOUN,51
sulit,ADJ,51
segera,ADV,51
kebutuhan,NOUN,51
a,NOUN,51
telpon,NOUN,50
tanggap,NOUN,50
hospital,PROPN,50
kan,X,50
nih,NOUN,50
my,NOUN,50
sehat,ADJ,50
dikasih,VERB,50
menghubungi,VERB,50
skrg,NOUN,50
pilih,VERB,50
Jadi,CONJ,50
pengguna,NOUN,49
spesialis,NOUN,49
your,NOUN,49
ganti,VERB,49
blm,NOUN,49
telp,PROPN,49
nyaman,ADJ,49
spt,NOUN,49
sembuh,VERB,49
delivery,PROPN,49
paling,ADV,49
u,PROPN,49
tanggal,NOUN,49
keep,NOUN,49
us,PROPN,48
memilih,VERB,48
available,NOUN,48
amat,ADV,48
best,PROPN,48
pertanyaan,NOUN,48
Ga,PROPN,48
kembali,ADV,48
lalu,CONJ,48
pas,ADJ,48
system,NOUN,48
insurance,PROPN,47
sabar,NOUN,47
Mantab,PROPN,47
aku,PRON,47
doctors,NOUN,46
puas,ADJ,46
jawab,NOUN,46
rapid,NOUN,46
Puas,NOUN,46
berhasil,VERB,46
adanya,NOUN,46
Tolong,ADV,46
klik,NOUN,46
dlm,NOUN,46
sukses,ADJ,46
Membantu,PROPN,46
nggak,NOUN,46
efektif,ADJ,45
akurat,ADJ,45
Top,PROPN,45
selama,ADP,45
cant,NUM,45
Konsul,PROPN,45
Awesome,PROPN,45
some,NOUN,45
usefull,PROPN,45
karna,ADV,45
hasilnya,NOUN,45
pandemic,NUM,45
cs,NOUN,45
Tolong,ADP,45
buka,NOUN,44
sebelum,ADP,44
is,ADP,44
org,NOUN,44
banget,PROPN,44
duit,NOUN,44
bahkan,CONJ,44
pengembalian,NOUN,44
Hanya,ADV,44
Baik,ADV,44
via,NOUN,44
swab,NOUN,44
informatif,ADJ,44
Super,PROPN,44
kosong,ADJ,44
puas,VERB,44
better,NOUN,43
lah,NOUN,43
mempermudah,VERB,43
sdh,NOUN,43
antar,ADP,43
takut,VERB,43
disini,NOUN,43
gitu,NOUN,43
using,PROPN,43
kok,X,43
toko,NOUN,43
menjelaskan,VERB,43
akun,NOUN,43
terhubung,VERB,42
Quick,PROPN,42
pay,NOUN,42
minta,NOUN,42
komunikatif,NOUN,42
telepon,NOUN,42
responsif,ADJ,42
dibutuhkan,VERB,42
dikembalikan,VERB,42
got,NOUN,42
Useful,PROPN,42
job,NOUN,42
Bad,PROPN,42
Semoga,ADV,42
agar,CONJ,42
diresepkan,VERB,42
good,NOUN,42
oke,NOUN,42
sm,PROPN,42
one,NOUN,41
bilang,VERB,41
bad,NOUN,41
hingga,ADP,41
services,PROPN,41
can,NOUN,41
after,NOUN,41
paket,NOUN,41
klo,ADV,41
terkait,VERB,41
any,NOUN,41
test,PROPN,41
walaupun,CONJ,41
gini,PROPN,41
situasi,NOUN,41
money,NOUN,41
suruh,NOUN,41
Kenapa,ADV,40
consult,PROPN,40
Pertama,NUM,40
memesan,VERB,40
foto,NOUN,40
refund,PROPN,40
trus,NOUN,40
bug,NOUN,40
problem,NOUN,40
penanganan,NOUN,40
make,PROPN,40
A,PROPN,40
minggu,NOUN,40
dr,PROPN,40
hal,NOUN,40
gratis,ADJ,39
luar,NOUN,39
dont,NOUN,39
Pengalaman,NOUN,39
always,NOUN,39
hilang,VERB,39
tunggu,NOUN,39
melayani,VERB,39
Pengiriman,NOUN,39
